country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,13083,13080,12335,13789,12790,14613,11795,9964,8496,10636,13686
Bolivia,2562,2854,3022,2976,3014,3280,3471,3472,3069,3345,3523
Brazil,12328,12259,12071,8783,8681,9897,9121,8845,6924,7697,8918
Chile,15406,15833,14666,13570,13786,15046,15796,14627,13165,16247,15356
Colombia,8097,8264,8167,6229,5936,6450,6782,6437,5304,6183,6630
Ecuador,5678,6050,6375,6131,6079,6246,6321,6233,5645,5965,6391
Guyana,5461,5576,5495,5668,5905,6221,6095,6477,6863,9999,18990
Paraguay,5621,6436,6629,5861,5759,6136,6243,5808,5353,5959,6153
Peru,6476,6697,6615,6180,6164,6676,6912,6956,6064,6635,7126
Suriname,8923,9125,9199,8908,5705,6113,6731,6690,4797,4869,5858
Uruguay,16087,18141,18132,16951,16838,18995,19026,18098,15650,17924,20795
Venezuela,12938,12434,15976,11240,9355,8083,6815,5158,3722,3960,4586
